z,y
0.000000000000000000e+00,-5.250000000000000000e+00
0.000000000000000000e+00,-7.250000000000000000e+00
0.000000000000000000e+00,-6.250000000000000000e+00
0.000000000000000000e+00,1.150000000000000000e+01
2.000000000000000000e+00,2.100000000000000000e+01
2.000000000000000000e+00,-2.300000000000000000e+01
2.000000000000000000e+00,5.750000000000000000e+00
3.000000000000000000e+00,3.250000000000000000e+00
3.000000000000000000e+00,8.750000000000000000e+00
4.000000000000000000e+00,8.250000000000000000e+00
4.000000000000000000e+00,-1.025000000000000000e+01
7.000000000000000000e+00,-1.050000000000000000e+01
8.000000000000000000e+00,1.975000000000000000e+01
8.000000000000000000e+00,-5.000000000000000000e-01
8.000000000000000000e+00,2.925000000000000000e+01
8.000000000000000000e+00,3.625000000000000000e+01
9.000000000000000000e+00,1.075000000000000000e+01
9.000000000000000000e+00,1.950000000000000000e+01
9.000000000000000000e+00,1.725000000000000000e+01
1.000000000000000000e+01,3.500000000000000000e+00
1.000000000000000000e+01,1.125000000000000000e+01
1.100000000000000000e+01,-1.300000000000000000e+01
1.200000000000000000e+01,2.400000000000000000e+01
1.300000000000000000e+01,2.500000000000000000e+00
1.500000000000000000e+01,3.000000000000000000e+00
1.500000000000000000e+01,5.500000000000000000e+00
1.600000000000000000e+01,2.125000000000000000e+01
1.600000000000000000e+01,2.975000000000000000e+01
1.700000000000000000e+01,7.500000000000000000e+00
1.800000000000000000e+01,-1.650000000000000000e+01
2.000000000000000000e+01,4.500000000000000000e+00
2.000000000000000000e+01,3.900000000000000000e+01
2.100000000000000000e+01,-5.750000000000000000e+00
2.100000000000000000e+01,-2.100000000000000000e+01
2.100000000000000000e+01,2.500000000000000000e-01
2.200000000000000000e+01,-1.025000000000000000e+01
2.400000000000000000e+01,-5.000000000000000000e-01
2.500000000000000000e+01,-1.900000000000000000e+01
2.500000000000000000e+01,1.575000000000000000e+01
2.600000000000000000e+01,6.000000000000000000e+00
2.700000000000000000e+01,1.050000000000000000e+01
2.700000000000000000e+01,-1.500000000000000000e+00
2.800000000000000000e+01,2.350000000000000000e+01
2.900000000000000000e+01,3.300000000000000000e+01
3.100000000000000000e+01,4.250000000000000000e+00
3.200000000000000000e+01,1.875000000000000000e+01
3.200000000000000000e+01,8.500000000000000000e+00
3.300000000000000000e+01,3.250000000000000000e+00
3.300000000000000000e+01,2.775000000000000000e+01
3.400000000000000000e+01,3.075000000000000000e+01
3.400000000000000000e+01,-1.500000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,7.750000000000000000e+00
3.500000000000000000e+01,-1.575000000000000000e+01
3.600000000000000000e+01,3.350000000000000000e+01
3.600000000000000000e+01,3.625000000000000000e+01
3.700000000000000000e+01,5.500000000000000000e+00
3.800000000000000000e+01,2.550000000000000000e+01
4.100000000000000000e+01,2.025000000000000000e+01
4.300000000000000000e+01,3.325000000000000000e+01
4.500000000000000000e+01,5.675000000000000000e+01
